date,home,away,hg,ag,comp_code
2025-01-02,Vietnam,Thailand,2,1,SEA
2025-01-04,Bahrain,Oman,2,1,GLF
2025-01-05,Thailand,Vietnam,2,3,SEA
2025-01-18,United States,Venezuela,3,1,F
2025-01-22,United States,Costa Rica,3,0,F
2025-01-27,Jordan,Uzbekistan,0,0,F
2025-02-06,Jamaica,Trinidad and Tobago,1,0,F
2025-02-08,Chile,Panama,6,1,F
2025-02-09,Jamaica,Trinidad and Tobago,1,1,F
2025-02-17,Korea DPR,Kazakhstan,2,0,F
2025-03-06,Saint Vincent and the Grenadines,Grenada,1,1,F
2025-03-09,Saint Vincent and the Grenadines,Grenada,1,1,F
2025-03-13,Oman,Sudan,0,0,F
2025-03-14,Jordan,Korea DPR,1,1,F
2025-03-15,China PR,Kuwait,3,1,F
2025-03-16,Guatemala,Honduras,2,1,F
2025-03-19,Kazakhstan,Curaçao,2,0,F
2025-03-19,Madagascar,Central African Republic,4,1,WQ
2025-03-19,Russia,Grenada,5,0,F
2025-03-19,Liberia,Tunisia,0,1,WQ
2025-03-19,Vietnam,Cambodia,2,1,F
2025-03-19,"Hong Kong, China",Macao,2,0,F
2025-03-19,India,Maldives,3,0,F
2025-03-19,Cameroon,Eswatini,0,0,WQ
2025-03-20,Brazil,Colombia,2,1,WQ
2025-03-20,Iraq,Kuwait,2,2,WQ
2025-03-20,Mali,Comoros,3,0,WQ
2025-03-20,Malawi,Namibia,0,1,WQ
2025-03-20,Tajikistan,Belarus,0,5,F
2025-03-20,Japan,Bahrain,2,0,WQ
2025-03-20,Jordan,Palestine,3,1,WQ
2025-03-20,Denmark,Portugal,1,0,ENL
2025-03-20,Peru,Bolivia,3,1,WQ
2025-03-20,The Gambia,Kenya,3,3,WQ
2025-03-20,Qatar,Korea DPR,5,1,WQ
2025-03-20,Korea Republic,Oman,1,1,WQ
2025-03-20,Uzbekistan,Kyrgyz Republic,1,0,WQ
2025-03-20,Libya,Angola,1,1,WQ
2025-03-20,Laos,Sri Lanka,1,2,F
2025-03-20,Benin,Zimbabwe,2,2,WQ
2025-03-20,Lebanon,East Timor,4,0,F
2025-03-20,Kosovo,Iceland,2,1,EBC
2025-03-20,IR Iran,United Arab Emirates,2,0,WQ
2025-03-20,Bulgaria,Ireland,1,2,EBC
2025-03-20,Greece,Scotland,0,1,EAB
2025-03-20,Armenia,Georgia,0,3,EBC
2025-03-20,Saudi Arabia,China PR,1,0,WQ
2025-03-20,Gabon,Seychelles,3,0,WQ
2025-03-20,Italy,Germany,1,2,ENL
2025-03-20,Paraguay,Chile,1,0,WQ
2025-03-20,Australia,Indonesia,5,1,WQ
2025-03-20,Netherlands,Spain,2,2,ENL
2025-03-20,Slovakia,Slovenia,0,0,EBC
2025-03-20,Croatia,France,2,0,ENL
2025-03-20,Türkiye,Hungary,3,1,EAB
2025-03-20,Cape Verde,Mauritius,1,0,WQ
2025-03-20,Mozambique,Uganda,3,1,WQ
2025-03-20,Mexico,Canada,2,0,CNL
2025-03-20,Austria,Serbia,1,1,EAB
2025-03-20,Sierra Leone,Guinea-Bissau,3,1,WQ
2025-03-20,Ukraine,Belgium,3,1,EAB
2025-03-20,United States,Panama,0,1,CNL
2025-03-21,Singapore,Nepal,0,1,F
2025-03-21,New Caledonia,Tahiti,3,0,WQ
2025-03-21,Rwanda,Nigeria,0,2,WQ
2025-03-21,Poland,Lithuania,1,0,WQ
2025-03-21,Morocco,Niger,2,1,WQ
2025-03-21,Suriname,Martinique,1,0,CCQ
2025-03-21,Cyprus,San Marino,2,0,WQ
2025-03-21,New Zealand,Fiji,7,0,WQ
2025-03-21,Belize,Costa Rica,0,7,CCQ
2025-03-21,Malta,Finland,0,1,WQ
2025-03-21,Equatorial Guinea,Sao Tome and Principe,2,0,WQ
2025-03-21,Ghana,Chad,5,0,WQ
2025-03-21,Congo DR,South Sudan,1,0,WQ
2025-03-21,Egypt,Ethiopia,2,0,WQ
2025-03-21,Ecuador,Venezuela,2,1,WQ
2025-03-21,Guadeloupe,Nicaragua,1,0,CCQ
2025-03-21,South Africa,Lesotho,2,0,WQ
2025-03-21,Guyana,Guatemala,3,2,CCQ
2025-03-21,Côte d'Ivoire,Burundi,1,0,WQ
2025-03-21,Burkina Faso,Djibouti,4,1,WQ
2025-03-21,Northern Ireland,Switzerland,1,1,F
2025-03-21,Puerto Rico,Dominican Republic,2,2,F
2025-03-21,Saint Vincent and the Grenadines,Jamaica,1,1,CCQ
2025-03-21,Romania,Bosnia-Herzegovina,0,1,WQ
2025-03-21,Bermuda,Honduras,3,5,CCQ
2025-03-21,Guinea,Somalia,0,0,WQ
2025-03-21,Cuba,Trinidad and Tobago,1,2,CCQ
2025-03-21,Thailand,Afghanistan,2,0,F
2025-03-21,Andorra,Latvia,0,1,WQ
2025-03-21,Uruguay,Argentina,0,1,WQ
2025-03-21,Botswana,Algeria,1,3,WQ
2025-03-21,England,Albania,2,0,WQ
2025-03-22,Moldova,Norway,0,5,WQ
2025-03-22,Azerbaijan,Haiti,0,3,F
2025-03-22,Wales,Kazakhstan,3,1,WQ
2025-03-22,Togo,Mauritania,2,2,WQ
2025-03-22,Israel,Estonia,2,1,WQ
2025-03-22,Montenegro,Gibraltar,3,1,WQ
2025-03-22,Luxembourg,Sweden,1,0,F
2025-03-22,Senegal,Sudan,0,0,WQ
2025-03-22,Czechia,Faroe Islands,2,1,WQ
2025-03-22,Liechtenstein,North Macedonia,0,3,WQ
2025-03-23,Eswatini,Mauritius,3,3,WQ
2025-03-23,Georgia,Armenia,6,1,EBC
2025-03-23,Belgium,Ukraine,3,0,EAB
2025-03-23,United States,Canada,1,2,CNL
2025-03-23,Mexico,Panama,2,1,CNL
2025-03-23,Ireland,Bulgaria,2,1,EBC
2025-03-23,Spain,Netherlands,3,3,ENL
2025-03-23,Scotland,Greece,0,3,EAB
2025-03-23,Kenya,Gabon,1,2,WQ
2025-03-23,Germany,Italy,3,3,ENL
2025-03-23,Serbia,Austria,2,0,EAB
2025-03-23,Slovenia,Slovakia,1,0,EBC
2025-03-23,Iceland,Kosovo,1,3,EBC
2025-03-23,France,Croatia,2,0,ENL
2025-03-23,Portugal,Denmark,5,2,ENL
2025-03-23,Hungary,Türkiye,0,3,EAB
2025-03-24,Guinea-Bissau,Burkina Faso,1,2,WQ
2025-03-24,Bosnia-Herzegovina,Cyprus,2,1,WQ
2025-03-24,Ghana,Madagascar,3,0,WQ
2025-03-24,Equatorial Guinea,Namibia,1,1,WQ
2025-03-24,England,Latvia,3,0,WQ
2025-03-24,Central African Republic,Mali,0,0,WQ
2025-03-24,San Marino,Romania,1,5,WQ
2025-03-24,Lithuania,Finland,2,2,WQ
2025-03-24,Albania,Andorra,3,0,WQ
2025-03-24,Poland,Malta,2,0,WQ
2025-03-24,Tunisia,Malawi,2,0,WQ
2025-03-24,Liberia,Sao Tome and Principe,2,1,WQ
2025-03-24,Côte d'Ivoire,The Gambia,1,0,WQ
2025-03-24,New Zealand,New Caledonia,3,0,WQ
2025-03-24,Ethiopia,Djibouti,6,1,WQ
2025-03-25,Jamaica,Saint Vincent and the Grenadines,3,0,CCQ
2025-03-25,Honduras,Bermuda,2,0,CCQ
2025-03-25,Kuwait,Oman,0,1,WQ
2025-03-25,Lebanon,Brunei Darussalam,5,0,SQ
2025-03-25,Cameroon,Libya,3,1,WQ
2025-03-25,Montenegro,Faroe Islands,1,0,WQ
2025-03-25,Tajikistan,East Timor,1,0,SQ
2025-03-25,Russia,Zambia,5,0,F
2025-03-25,India,Bangladesh,0,0,SQ
2025-03-25,Palestine,Iraq,2,1,WQ
2025-03-25,Malaysia,Nepal,2,0,SQ
2025-03-25,Bhutan,Yemen,0,0,SQ
2025-03-25,South Sudan,Sudan,1,1,WQ
2025-03-25,Cambodia,Aruba,1,2,F
2025-03-25,Switzerland,Luxembourg,3,1,F
2025-03-25,Senegal,Togo,2,0,WQ
2025-03-25,Nigeria,Zimbabwe,1,1,WQ
2025-03-25,Chinese Taipei,Turkmenistan,1,2,SQ
